21 21 21
8 10 2 0.0061373
8 10 3 0.0060474
8 10 4 0.0059281
8 10 5 0.0057848
8 10 6 0.0056232
8 10 7 0.0054488
8 10 8 0.0052665
8 10 9 0.0050807
8 10 10 0.0048947
9 0 0 0.0088703
9 0 1 0.0088139
9 0 2 0.0086515
9 0 3 0.0084011
9 0 4 0.0080863
9 0 5 0.0077311
9 0 6 0.0073560
9 0 7 0.0069772
9 0 8 0.0066060
9 0 9 0.0062499
9 0 10 0.0059131
9 1 0 0.0088139
9 1 1 0.0087586
9 1 2 0.0085994
9 1 3 0.0083536
9 1 4 0.0080441
9 1 5 0.0076943
9 1 6 0.0073244
9 1 7 0.0069502
9 1 8 0.0065831
9 1 9 0.0062305
9 1 10 0.0058967
9 2 0 0.0086515
9 2 1 0.0085994
9 2 2 0.0084489
9 2 3 0.0082160
9 2 4 0.0079215
9 2 5 0.0075871
9 2 6 0.0072320
9 2 7 0.0068713
9 2 8 0.0065160
9 2 9 0.0061736
9 2 10 0.0058484
9 3 0 0.0084011
9 3 1 0.0083536
9 3 2 0.0082160
9 3 3 0.0080019
9 3 4 0.0077297
9 3 5 0.0074185
9 3 6 0.0070858
9 3 7 0.0067457
9 3 8 0.0064087
9 3 9 0.0060822
9 3 10 0.0057705
9 4 0 0.0080863
9 4 1 0.0080441
9 4 2 0.0079215
9 4 3 0.0077297
9 4 4 0.0074839
9 4 5 0.0072008
9 4 6 0.0068956
9 4 7 0.0065811
9 4 8 0.0062672
9 4 9 0.0059609
9 4 10 0.0056667
9 5 0 0.0077311
9 5 1 0.0076943
9 5 2 0.0075871
9 5 3 0.0074185
9 5 4 0.0072008
9 5 5 0.0069478
9 5 6 0.0066727
9 5 7 0.0063866
9 5 8 0.0060986
9 5 9 0.0058152
9 5 10 0.0055411
9 6 0 0.0073560
9 6 1 0.0073244
9 6 2 0.0072320
9 6 3 0.0070858
9 6 4 0.0068956
9 6 5 0.0066727
9 6 6 0.0064279
9 6 7 0.0061711
